Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1728308734117,3504,3504,3504,3504,3504,3504,3504,3504,50.29438781738281,48.48691177368164,47.58257293701172,47.76759338378906,47.831932067871094,51.872276306152344,50.29570770263672,53.32589340209961,50.32095718383789,0,0,50,50,100,100,0,0,32.07415771484375,17179869184,4294967296,14828716032,2955804672
3004,1728308734117,3504,3504,3504,3504,3504,3504,3504,3504,50.29438781738281,48.48691177368164,47.58257293701172,47.76759338378906,47.831932067871094,51.872276306152344,50.29570770263672,53.32589340209961,50.32095718383789,0,0,0,0,0,100,0,0,32.07415771484375,17179869184,4294967296,14830223360,2955804672
12,1728308737122,3504,3504,3504,3504,3504,3504,3504,3504,49.87285614013672,49.7910041809082,48.84022521972656,48.410972595214844,50.1288948059082,52.72953796386719,51.97809600830078,53.110443115234375,52.09796142578125,24.91582489013672,21.404682159423828,19.52861976623535,18.456375122070313,18.729097366333008,11,9.333333015441895,9.966776847839355,33.89707565307617,17179869184,4294967296,14791950336,2947284992
