Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1728308741682,3504,3504,3504,3504,3504,3504,3504,3504,61.532432556152344,59.238216400146484,57.32716369628906,58.28175354003906,55.10786819458008,58.98414611816406,58.21173095703125,60.189414978027344,58.86262130737305,0,0,0,0,0,NaN,0,0,32.22947692871094,17179869184,4294967296,14794358784,2938896384
3004,1728308741682,3504,3504,3504,3504,3504,3504,3504,3504,61.532432556152344,59.238216400146484,57.32716369628906,58.28175354003906,55.10786819458008,58.98414611816406,58.21173095703125,60.189414978027344,58.86262130737305,50,0,NaN,0,0,50,NaN,0,32.22947692871094,17179869184,4294967296,14797733888,2938896384
3002,1728308744687,3504,3504,3504,3504,3504,3504,3504,3504,58.09305953979492,59.29423141479492,57.257232666015625,56.56318664550781,57.15299987792969,61.34645080566406,60.65790557861328,61.70843505859375,60.7928581237793,22.22222328186035,19.46308708190918,16.38796043395996,16.38796043395996,16.053510665893555,8.69565200805664,5.333333492279053,6.64451789855957,38.634456634521484,17179869184,4294967296,14817673216,2938896384
3000,1728308747690,3504,3504,3504,3504,3504,3504,3504,3504,58.36552810668945,58.43485641479492,57.44398498535156,57.08918762207031,58.899173736572266,62.46675109863281,61.968482971191406,62.91542053222656,61.851905822753906,21.81208038330078,18.456375122070313,15.436241149902344,16.10738182067871,6.020066738128662,5.016722679138184,6.020066738128662,6,39.319419860839844,17179869184,4294967296,14773010432,2938896384
3004,1728308750691,3504,3504,3504,3504,3504,3504,3504,3504,61.71113967895508,61.60562515258789,60.422752380371094,60.55485534667969,61.616981506347656,66.17882537841797,64.86343383789063,66.2142333984375,64.7160873413086,34.563758850097656,29.29292869567871,27.759197235107422,26.174497604370117,29.431438446044922,29.333332061767578,27.33333396911621,20.066890716552734,41.64238357543945,17179869184,4294967296,14734311424,2938896384
3004,1728308753696,3504,3504,3504,3504,3504,3504,3504,3504,65.1405029296875,63.98228073120117,62.823875427246094,63.38786315917969,63.566925048828125,67.80438995361328,67.03052520751953,67.6947021484375,67.10758972167969,24.579124450683594,27.18120765686035,19.798656463623047,17.39130401611328,15.384615898132324,12.666666030883789,16.279069900512695,7.6666669845581055,38.10694885253906,17179869184,4294967296,14700789760,2938896384
12,1728308756701,3504,3504,3504,3504,3504,3504,3504,3504,65.29979705810547,65.00128173828125,63.5540771484375,63.62970733642578,62.39948654174805,63.38317108154297,63.07472229003906,64.6467514038086,64.22935485839844,26.51006507873535,23.745819091796875,20.401338577270508,18.33333396911621,18.120805740356445,13.377925872802734,9.333333015441895,7.6666669845581055,33.377777099609375,17179869184,4294967296,14670512128,2938896384
