Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1728308749322,3504,3504,3504,3504,3504,3504,3504,3504,60.936092376708984,60.370086669921875,59.1829833984375,59.235443115234375,60.11552429199219,65.67390441894531,64.663818359375,66.79578399658203,64.90892791748047,NaN,NaN,100,NaN,NaN,50,NaN,0,37.59511947631836,17179869184,4294967296,14778318848,2938896384
3000,1728308749322,3504,3504,3504,3504,3504,3504,3504,3504,60.936092376708984,60.370086669921875,59.1829833984375,59.235443115234375,60.11552429199219,65.67390441894531,64.663818359375,66.79578399658203,64.90892791748047,0,0,50,0,0,100,100,0,37.59511947631836,17179869184,4294967296,14778318848,2938896384
9,1728308752323,3504,3504,3504,3504,3504,3504,3504,3504,62.5526237487793,62.342655181884766,61.14857482910156,61.2784423828125,62.69319534301758,68.86483001708984,67.1013412475586,69.81342315673828,67.14478302001953,23.56902313232422,23.15436363220215,17.171716690063477,16.666667938232422,14.046822547912598,11.70568561553955,19.397993087768555,6.6666669845581055,39.774986267089844,17179869184,4294967296,14693711872,2938896384
